"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Josh Freeman",5000,"Mia@Was 01:00PM ET",0,"Mia"
"QB","Thaddeus Lewis",5000,"Cle@NYJ 01:00PM ET",0,"Cle"
"QB","Case Keenum",5000,"Sea@StL 01:00PM ET",12.950,"StL"
"QB","Jimmy Clausen",5000,"GB@Chi 01:00PM ET",4.205,"Chi"
"QB","Kellen Moore",5000,"Det@SD 04:05PM ET",0,"Det"
"QB","Brandon Weeden",5000,"NYG@Dal 08:30PM ET",3.670,"Dal"
"QB","Tyrod Taylor",5000,"Ind@Buf 01:00PM ET",-0.300,"Buf"
"QB","Chandler Harnish",5000,"NO@Ari 04:05PM ET",0,"Ari"
"QB","Austin Davis",5000,"Sea@StL 01:00PM ET",12.564,"StL"
"QB","Kirk Cousins",5000,"Mia@Was 01:00PM ET",17.567,"Was"
"QB","Matt Simms",5000,"Ind@Buf 01:00PM ET",1.760,"Buf"
"QB","Blaine Gabbert",5000,"Min@SF 10:20PM ET",6.020,"SF"
"QB","Sean Renfree",5000,"Phi@Atl 07:10PM ET",0,"Atl"
"QB","Mike Glennon",5000,"Ten@TB 04:25PM ET",16.930,"TB"
"QB","B.J. Daniels",5000,"Sea@StL 01:00PM ET",0,"Sea"
"QB","Ryan Nassib",5000,"NYG@Dal 08:30PM ET",0.525,"NYG"
"QB","Zac Dysert",5000,"Bal@Den 04:25PM ET",0,"Den"
"QB","Matt McGloin",5000,"Cin@Oak 04:25PM ET",7.460,"Oak"
"QB","Matt Barkley",5000,"Phi@Atl 07:10PM ET",0.000,"Phi"
"QB","Zach Mettenberger",5000,"Ten@TB 04:25PM ET",11.840,"Ten"
"QB","Aaron Murray",5000,"KC@Hou 01:00PM ET",0,"KC"
"QB","Brock Osweiler",5000,"Bal@Den 04:25PM ET",1.520,"Den"
"QB","Bryn Renner",5000,"Bal@Den 04:25PM ET",0,"Bal"
"QB","Seth Lobato",5000,"Ten@TB 04:25PM ET",0,"TB"
"QB","Bryce Petty",5000,"Cle@NYJ 01:00PM ET",0,"NYJ"
"QB","Jeff Tuel",5000,"Car@Jax 01:00PM ET",0,"Jax"
"QB","Garrett Gilbert",5000,"Det@SD 04:05PM ET",0,"Det"
"QB","Logan Thomas",5000,"NO@Ari 04:05PM ET",2.413,"Ari"
"QB","AJ McCarron",5000,"Cin@Oak 04:25PM ET",0,"Cin"
"QB","Tom Savage",5000,"KC@Hou 01:00PM ET",1.240,"Hou"
"QB","Brad Sorensen",5000,"Det@SD 04:05PM ET",0,"SD"
"QB","David Fales",5000,"GB@Chi 01:00PM ET",0,"Chi"
"QB","Stephen Morris",5000,"Car@Jax 01:00PM ET",0,"Jax"
"QB","Jake Heaps",5000,"Cle@NYJ 01:00PM ET",0,"NYJ"
"QB","Garrett Grayson",5000,"NO@Ari 04:05PM ET",0,"NO"
"QB","Chase Rettig",5000,"Det@SD 04:05PM ET",0,"SD"
"QB","Tyler Bray",5000,"KC@Hou 01:00PM ET",0,"KC"
"QB","Connor Shaw",5000,"Cle@NYJ 01:00PM ET",5.980,"Cle"
"QB","Phillip Sims",5000,"NO@Ari 04:05PM ET",0,"Ari"
"QB","Jameill Showers",5000,"NYG@Dal 08:30PM ET",0,"Dal"
"QB","Trevor Siemian",5000,"Bal@Den 04:25PM ET",0,"Den"
"QB","Shane Carden",5000,"GB@Chi 01:00PM ET",0,"Chi"
"QB","Hutson Mason",5000,"Mia@Was 01:00PM ET",0,"Was"
"QB","Dylan Thompson",5000,"Min@SF 10:20PM ET",0,"SF"
"QB","Bryan Bennett",5000,"Ind@Buf 01:00PM ET",0,"Ind"
"QB","Anthony Boone",5000,"Det@SD 04:05PM ET",0,"Det"
"QB","Cody Fajardo",5000,"Cin@Oak 04:25PM ET",0,"Oak"
"QB","Sean Mannion",5000,"Sea@StL 01:00PM ET",0,"StL"
"QB","Jerry Lovelocke",5000,"Bal@Den 04:25PM ET",0,"Bal"
"QB","Brett Hundley",5000,"GB@Chi 01:00PM ET",0,"GB"
"RB","Tre Mason",5000,"Sea@StL 01:00PM ET",11.858,"StL"
"QB","Cole Stoudt",5000,"Det@SD 04:05PM ET",0,"SD"
"QB","Johnny Manziel",5000,"Cle@NYJ 01:00PM ET",2.780,"Cle"
"QB","Taylor Heinicke",5000,"Min@SF 10:20PM ET",0,"Min"
"QB","Alex Tanney",5000,"Ten@TB 04:25PM ET",0,"Ten"
"QB","Matt Blanchard",5000,"GB@Chi 01:00PM ET",0,"GB"
"WR","Breshad Perriman",5000,"Bal@Den 04:25PM ET",0,"Bal"
"WR","Kevin White",5000,"GB@Chi 01:00PM ET",0,"Chi"
"QB","Jake Waters",5000,"Car@Jax 01:00PM ET",0,"Jax"
"QB","Dustin Vaughan",5000,"NYG@Dal 08:30PM ET",0,"Dal"
"RB","C.J. Spiller",4900,"NO@Ari 04:05PM ET",8.056,"NO"
"WR","Charles Johnson",4900,"Min@SF 10:20PM ET",7.867,"Min"
"WR","Kenny Britt",4800,"Sea@StL 01:00PM ET",9.263,"StL"
"TE","Travis Kelce",4800,"KC@Hou 01:00PM ET",11.825,"KC"
"RB","Todd Gurley",4800,"Sea@StL 01:00PM ET",0,"StL"
"RB","Tevin Coleman",4800,"Phi@Atl 07:10PM ET",0,"Atl"
"WR","Kenny Stills",4700,"Mia@Was 01:00PM ET",11.993,"Mia"
"RB","Giovani Bernard",4700,"Cin@Oak 04:25PM ET",14.579,"Cin"
"WR","Doug Baldwin",4600,"Sea@StL 01:00PM ET",11.372,"Sea"
"RB","Isaiah Crowell",4600,"Cle@NYJ 01:00PM ET",7.775,"Cle"
"RB","Doug Martin",4500,"Ten@TB 04:25PM ET",7.618,"TB"
"WR","John Brown",4500,"NO@Ari 04:05PM ET",9.259,"Ari"
"TE","Julius Thomas",4500,"Car@Jax 01:00PM ET",12.729,"Jax"
"RB","Darren McFadden",4400,"NYG@Dal 08:30PM ET",7.600,"Dal"
"WR","Michael Crabtree",4400,"Cin@Oak 04:25PM ET",10.138,"Oak"
"WR","Percy Harvin",4400,"Ind@Buf 01:00PM ET",10.500,"Buf"
"WR","Davante Adams",4400,"GB@Chi 01:00PM ET",7.389,"GB"
"WR","Greg Jennings",4300,"Mia@Was 01:00PM ET",10.575,"Mia"
"WR","Dwayne Bowe",4300,"Cle@NYJ 01:00PM ET",9.027,"Cle"
"TE","Martellus Bennett",4300,"GB@Chi 01:00PM ET",14.225,"Chi"
